id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,Label
123,0,10.48.1.121,d2:19:d4:e9:94:86,d2:19:d4,62860,239.255.255.250,46:c0:e1:eb:fe:23,46:c0:e1,1900,17,4,0,0,1627615114286,1627615114286,0,1,167,1627615114286,1627615114286,0,1,167,0,0,0,0,0,167,167.0,0.0,167,167,167.0,0.0,167,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSDP,System,0,6,239.255.255.250:1900,,,,,normal
658,0,192.168.0.121,5e:ea:b2:63:fc:aa,5e:ea:b2,59021,8.8.8.8,d2:19:d4:e9:94:86,d2:19:d4,53,17,4,0,0,1627615642771,1627615642771,0,1,81,1627615642771,1627615642771,0,1,81,0,0,0,0,0,81,81.0,0.0,81,81,81.0,0.0,81,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.Spotify,Network,0,6,apresolve.spotify.com,,,,,normal
180,0,192.168.0.102,ca:47:5f:92:ed:09,ca:47:5f,14335,192.168.0.1,9e:a7:07:1a:a0:d2,9e:a7:07,53,17,4,0,0,1627615129315,1627615134317,5002,2,164,1627615129315,1627615134317,5002,2,164,0,0,0,0,0,82,82.0,0.0,82,82,82.0,0.0,82,0,0.0,0.0,0,5002,5002.0,0.0,5002,5002,5002.0,0.0,5002,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.GoogleServices,Network,0,6,android.googleapis.com,,,,,arp_spoofing
666,0,192.168.0.121,5e:ea:b2:63:fc:aa,5e:ea:b2,40456,151.101.2.217,d2:19:d4:e9:94:86,d2:19:d4,443,6,4,0,0,1627615643777,1627615643882,105,38,30042,1627615643777,1627615643882,105,11,1930,1627615643778,1627615643826,48,27,28112,54,790.578947368421,695.7975642064425,1514,54,175.45454545454547,211.915248925774,623,60,1041.1851851851852,668.1211910468983,1514,0,2.8378378378378377,7.00203745552168,36,1,10.5,11.345581616745006,36,0,1.8461538461538456,4.888290561677427,21,2,0,0,0,37,14,0,0,1,0,0,0,10,5,0,0,1,0,0,0,27,9,0,0,TLS,Web,0,6,browser.sentry-cdn.com,b32309a26951912be7dba376398abc3b,16c0b3e6a7b8173c16d944cfeaeee9cf,,,normal
160,0,192.168.0.121,5e:ea:b2:63:fc:aa,5e:ea:b2,44942,192.168.0.1,9e:a7:07:1a:a0:d2,9e:a7:07,53,17,4,0,0,1627615524549,1627615524549,0,1,78,1627615524549,1627615524549,0,1,78,0,0,0,0,0,78,78.0,0.0,78,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.GoogleServices,Network,0,6,www.googleapis.com,,,,,arp_spoofing
125,0,192.168.0.121,5e:ea:b2:63:fc:aa,5e:ea:b2,57607,192.168.0.1,9e:a7:07:1a:a0:d2,9e:a7:07,53,17,4,0,0,1627615529499,1627615529499,0,1,78,1627615529499,1627615529499,0,1,78,0,0,0,0,0,78,78.0,0.0,78,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.GoogleServices,Network,0,6,www.googleapis.com,,,,,arp_spoofing
383,0,192.168.0.131,7e:d1:9d:c4:d1:73,7e:d1:9d,1900,10.48.86.41,d2:19:d4:e9:94:86,d2:19:d4,54370,17,4,0,0,1627614915990,1627614915990,0,1,380,1627614915990,1627614915990,0,1,380,0,0,0,0,0,380,380.0,0.0,380,380,380.0,0.0,380,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSDP,System,0,6,,,,,,normal
812,0,192.168.0.131,7e:d1:9d:c4:d1:73,7e:d1:9d,36726,192.168.0.1,d2:19:d4:e9:94:86,d2:19:d4,6352,6,4,0,0,1627615011645,1627615011665,20,14,4118,1627615011645,1627615011665,20,7,655,1627615011645,1627615011665,20,7,3463,66,294.1428571428572,519.5028477219436,1514,66,93.57142857142856,69.48346840042156,251,66,494.7142857142858,697.173989351705,1514,0,1.5384615384615383,2.9044616430411736,8,0,3.333333333333333,4.033195589934446,9,0,3.333333333333333,4.802776974487434,10,2,0,0,0,13,2,0,2,1,0,0,0,6,1,0,1,1,0,0,0,7,1,0,1,HTTP,Web,0,6,192.168.0.1,,,"Linux/3.10.0+, UPnP/1.0, Portable SDK for UPnP devices/1.6.22",text/xml,normal
19,0,10.50.88.240,d2:19:d4:e9:94:86,d2:19:d4,59505,239.255.255.250,46:c0:e1:eb:fe:23,46:c0:e1,1900,17,4,0,0,1627615510060,1627615510060,0,1,167,1627615510060,1627615510060,0,1,167,0,0,0,0,0,167,167.0,0.0,167,167,167.0,0.0,167,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSDP,System,0,6,239.255.255.250:1900,,,,,normal
452,0,192.168.0.111,a2:bd:fa:b5:89:92,a2:bd:fa,51107,10.50.123.175,d2:19:d4:e9:94:86,d2:19:d4,55095,17,4,0,0,1627614584062,1627614584062,0,1,557,1627614584062,1627614584062,0,1,557,0,0,0,0,0,557,557.0,0.0,557,557,557.0,0.0,557,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSDP,System,0,6,,,,,,normal
